2017-09-21,503,166
2017-09-22,516,200
2017-09-23,513,220
2017-09-24,375,158
2017-09-25,462,175
2017-09-26,491,181
2017-09-27,459,180
2017-09-28,480,201
2017-09-29,511,213
2017-09-30,518,229
2017-10-01,379,174
2017-10-02,451,187
2017-10-03,463,187
2017-10-04,469,196
2017-10-05,468,200
2017-10-06,502,219
2017-10-07,518,236
2017-10-08,377,169
2017-10-09,444,185
2017-10-10,450,194
2017-10-11,446,188
2017-10-12,453,194
2017-10-13,486,206
2017-10-14,504,212
2017-10-15,376,156
2017-10-16,441,179
2017-10-17,465,194
2017-10-18,459,195
2017-10-19,464,202
2017-10-20,492,229
2017-10-21,474,229
2017-10-22,362,168
2017-10-23,472,203
2017-10-24,490,212
2017-10-25,500,224
2017-10-26,507,226
2017-10-27,540,265
2017-10-28,528,275
2017-10-29,382,199
2017-10-30,491,220
2017-10-31,499,223
2017-11-01,529,235
2017-11-02,542,241
2017-11-03,561,261
2017-11-04,559,268
2017-11-05,415,189
2017-11-06,495,208
2017-11-07,501,213
2017-11-08,533,227
2017-11-09,545,237
2017-11-10,556,256
2017-11-11,588,302
2017-11-12,424,206
2017-11-13,523,220
2017-11-14,547,231
2017-11-15,555,242
2017-11-16,577,263
2017-11-17,604,287
2017-11-18,634,322
2017-11-19,495,232
2017-11-20,552,229
2017-11-21,574,251
2017-11-22,569,256
2017-11-23,611,281
2017-11-24,699,359
2017-11-25,701,364
2017-11-26,519,256
2017-11-27,584,257
2017-11-28,606,267
2017-11-29,605,268
2017-11-30,620,265
2017-12-01,672,307
2017-12-02,707,356
2017-12-03,530,249
2017-12-04,609,254
2017-12-05,613,265
2017-12-06,623,281
2017-12-07,617,279
2017-12-08,653,303
2017-12-09,689,337
2017-12-10,463,203
2017-12-11,585,249
2017-12-12,614,268
2017-12-13,608,270
2017-12-14,644,298
2017-12-15,684,328
2017-12-16,725,366
2017-12-17,530,258
2017-12-18,657,309
2017-12-19,654,303
2017-12-20,661,318
2017-12-21,684,346
2017-12-22,708,361
2017-12-23,669,334
2017-12-24,475,223
2017-12-25,203,51
2017-12-26,486,243
2017-12-27,572,278
2017-12-28,612,294
2017-12-29,594,280
2017-12-30,598,286
2017-12-31,451,221
2018-01-01,352,153
2018-01-02,528,224
